gene_id,control,treated,log2FC
crp,177.66666666666666,674.3333333333334,1.918329268343366
ompA,197.33333333333334,616,1.6373433216752682
rpoB,72.33333333333333,224.33333333333334,1.6195197227575249
lacZ,153.66666666666666,286.3333333333333,0.8935630639615261
recA,228,421.6666666666667,0.8841727413213073
arcA,191,302.6666666666667,0.6613822423597384
acrB,310,452.3333333333333,0.543657665285943
fur,366.3333333333333,385,0.07151102941807905
soxS,447,466.6666666666667,0.061981870841138875
ftsZ,413.6666666666667,426.3333333333333,0.043409776488138214
gyrA,96,94.66666666666667,-0.01996841623259599
katG,157.33333333333334,142.66666666666666,-0.1402396441292122
ydhB,142,120,-0.24100809950379493
thrA,66.33333333333333,55,-0.26589405997303434
mdtK,240,198.66666666666666,-0.27143964416233224
sodA,114.33333333333333,72.33333333333333,-0.653268514112065
marA,422,255.33333333333334,-0.7226365658792792
tolC,512.3333333333334,153,-1.7369655941662063
dnaA,46,13,-1.7472339296200334
emrB,506,103,-2.2854022188622483
